City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
352,san carlos de bariloche,-41.1456,-71.3082,10.86,54,0,3.09,AR,1674026520
353,itanhandu,-22.2958,-44.9347,16.87,96,95,0.46,BR,1674026521
354,jiangyou,31.7667,104.7167,7.35,28,98,2.28,CN,1674026522
355,salinas,36.6777,-121.6555,8.29,84,0,2.57,US,1674026522
356,mastic beach,40.7668,-72.8521,6.11,79,0,5.81,US,1674026523
357,isangel,-19.55,169.2667,23.91,93,100,3.72,VU,1674026523
358,matay,28.419,30.7792,14.12,48,0,2.54,EG,1674026523
359,ancud,-41.8697,-73.8203,11.14,89,89,0.88,CL,1674026477
360,robertsport,6.7533,-11.3686,23.7,94,70,3.74,LR,1674026524
361,saryg-sep,51.5,95.6,-15.13,88,96,0.87,RU,1674026524
